duration,text,hearts
0,this is beautiful im going to miss JACK on NTS,0
0,AHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,0
0,YES,0
1,,5
1,,1
1,nNO,0
1,ayyyy,0
2,NIGHTCOREY,0
2,l,0
2,160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160,0
2,!!!!,0
2,OMG,0
2,o,0
2,!!!,0
3,,6
3,OMG,0
3,OMG,0
3,OMGMGMGMGM,0
3,OMG,0
3,NIGHTCOREY,0
3,THANK YOU,0
4,coreyyyyyyyy,0
4,OMGGGGGG,0
4,YES,0
4,DEAD,0
4,,3
5,OK ACTUALLY PEAKING,0
5,FUCK MEEEE,0
5,alright,0
5,ALRIGHT,0
5,!!!,0
6,NIGHTCOREY,0
6,there we go,0
6,YES,0
6,omfggg,0
7,!!!!,0
7,YES,0
7,NIGHTCOREY,0
7,NIGHTCOREYYYYY,0
7,O M G,0
7,LOVE,0
8,OMGGG,0
8,ALRIGHT,0
8,!!!,0
8,YEs,0
8,AHHHHH,0
8,MEEEEEEEEEEEEEEEEP,0
8,,1
8,Y,0
9,DEAD,0
9,vorryyyyy,0
9,!!!!!!,0
9,esyes,0
9,yas,0
9,ywsy ,0
9,FUCK,0
9,NIGHTCOREEEEYYY,0
9,WOWWWWWWW,0
10,OMG YEP,0
10,NIGHTCORBIN,0
10,OH MY GOD,0
10,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0
11,HERE WE GO,0
11,IM ACTUALLY CRYING FUCCKKKK,0
11,160,0
11,COREYYYYYYY,0
12,i am SO DEAD,0
12,jsisiosdidk,0
12,,1
12,AHHHHHHH,0
12,,1
13,YUP,0
13,YES,0
13,I LOVE YOU NIGHTCOREY,0
13,THRIVING,0
13,,3
14,nightcorey,0
14,MY FUCKING FAVORITE,0
14,DANG,0
14,hskdgfmsdj;lkhnsd,0
14,NIGHTCOREY,0
14,,4
15,classic,0
15,,1
16,NOOOOOOIOOOOIII,0
16,,1
16,oh boiiii,0
17,,1
18,DAD,0
18,I LISTEN TO THIS EVER DAY,0
18,,1
18,well okay!,0
18,,3
19,PEAKING,0
19,,1
20,FUCK MEEEEEEEEEEEE AAAAAA,0
20,OH GOD,0
20,i can't even right now,0
20,GO COREYYYY,0
21,ALRIGHT,0
23,HAPPY 1/2 BIRTHDAY NIGHTCOREY,0
23,IM GONNA CRY,0
23,,6
23,I KNOW,0
24,I'm at school in the bathroom for this,0
24,IM PEAKING,0
24,MY BEST MEMORY IS DANCING WITH SIMON TO THIS AT THE END OF JACK SXSW 2015,0
25,do u ever just get chills,0
26,I KNOW FOR SURE,0
27,4-Eva,0
28,I KNOW I KNOW FOR SURE,0
28,EVERYBODY WANTS TO STEAL MY GIRL!,0
28,SOMEONE HUG ME,0
28,,3
28,,1
29,,1
29,EVERYBODY KNOWS THAT SHES MY GIRL,0
31,NXC,0
31,ONE OF MY FAVORTENIGHTCORES,0
32,I KNOWWWWWWW ,0
32,,0
33,Am I Your Dad,0
33,nightcorey is the purest,0
33,EVERYONE WANTS TO STEAL MY GIRL,0
34,,1
36,*sends dante hugs*,0
36,classic,0
37,,4
37,,1
37,this is the best,0
37,AHHHHH,0
38,IWANNA STEAL U ALL,0
38,WHO WANTS TO DO A JACK NIGHT TONIGHT IN LONDON?,0
38,CHATROOM KARAOKE,0
38,LOVE YOU,0
40,EVERYBODY WANTS TO STEAL MY GIRL,0
40,SHE BELONGS TO ME,0
40,FIND ANOTHER ONE,0
41,SHE BELONGS TO MEEEEEE,0
42,,31
42,SHE BELONGS TO MEEHHHHH,0
42,SHE BELONGS 2 ME,0
43,SHE BELONG TO MEEEEEEEEEE,0
44,where's nightcorey,0
44,AAAAAAYYYYYYYY,0
44,FUCK,0
44,SHE BELONGS TO ME,0
45,AW YEAH,0
46,LETS PARTY ,0
47,Oh yaa,0
47,BUT SHE BELONGS TO ME ,0
47,OMG,0
47,SHE BELONGS TO ME,0
47,IIM CRYYINGFBJDKFFD,0
48,FUCK,0
49,nightcorey is here!!!!! omggg,0
49,THANKS YOU SO MUCHHH,0
49,WOOOOOOO,0
49,Alright,0
49,,0
49,right here semei,0
49,SHE BELONGS TO ME,0
51,yes bonhomme,0
51,AHHHHHHHH,0
51,SHE BELONGS 2 MEEE,0
51,GOOOOOOO,0
51,SHE BELONGS TO ME,0
51,TAKE ME BACK OMGGGGG,0
52,She belonfqkns,0
52,SHE BELONGS TO ME,0
